,accuracy_score,classifier__max_depth,classifier__min_samples_leaf,count_mx__max_df,count_mx__min_df,count_mx__ngram_range,lda__learning_decay,lda__n_components
0,0.9833333333333333,17,1,0.6,16,"(1, 3)",0.7,12
1,0.9833333333333333,17,1,0.7,16,"(1, 3)",0.7,12
2,0.9833333333333333,17,1,0.8,16,"(1, 3)",0.7,12
3,0.9833333333333333,17,1,0.5,20,"(1, 3)",0.7,6
4,0.98,17,1,80.0,7,"(1, 3)",0.9,6
5,0.9783333333333334,17,1,0.6,5,"(1, 1)",0.7,12
6,0.9783333333333334,17,1,0.7,5,"(1, 1)",0.7,12
7,0.9783333333333334,17,1,0.8,5,"(1, 1)",0.7,12
8,0.9783333333333334,17,1,0.6,6,"(1, 1)",0.7,12
9,0.9783333333333334,17,1,0.7,6,"(1, 1)",0.7,12
10,0.9783333333333334,17,1,0.8,6,"(1, 1)",0.7,12
11,0.9783333333333334,17,1,70.0,17,"(1, 2)",0.7,6
12,0.9783333333333334,17,1,0.6,19,"(1, 1)",0.7,12
13,0.9783333333333334,17,1,0.6,19,"(1, 2)",0.7,12
14,0.9783333333333334,17,1,0.7,19,"(1, 1)",0.7,12
15,0.9783333333333334,17,1,0.7,19,"(1, 2)",0.7,12
16,0.9783333333333334,17,1,0.8,19,"(1, 1)",0.7,12
17,0.9783333333333334,17,1,0.8,19,"(1, 2)",0.7,12
18,0.9783333333333334,17,1,60.0,21,"(1, 3)",0.7,6
19,0.9766666666666667,17,1,0.5,10,"(1, 1)",0.7,6
20,0.9766666666666667,17,1,0.5,14,"(1, 4)",0.7,12
21,0.9766666666666667,17,1,70.0,16,"(1, 4)",0.7,6
22,0.9766666666666667,17,1,70.0,17,"(1, 2)",0.9,6
23,0.9766666666666667,17,1,0.5,19,"(1, 2)",0.9,6
24,0.9766666666666667,17,1,0.5,21,"(1, 2)",0.9,6
25,0.975,17,1,0.5,6,"(1, 1)",0.7,12
26,0.975,17,1,0.5,17,"(1, 4)",0.7,6
27,0.975,17,1,0.5,20,"(1, 4)",0.7,12
28,0.975,17,1,0.6,21,"(1, 4)",0.7,6
29,0.975,17,1,0.7,21,"(1, 4)",0.7,6
30,0.975,17,1,0.8,21,"(1, 4)",0.7,6
31,0.9733333333333334,17,1,0.5,8,"(1, 3)",0.7,12
32,0.9733333333333334,17,1,70.0,9,"(1, 2)",0.7,6
33,0.9733333333333334,17,1,70.0,9,"(1, 4)",0.7,6
34,0.9733333333333334,17,1,0.5,18,"(1, 2)",0.7,12
35,0.9716666666666667,17,1,70.0,6,"(1, 2)",0.7,12
36,0.9716666666666667,17,1,80.0,6,"(1, 2)",0.9,6
37,0.9716666666666667,17,1,0.5,8,"(1, 4)",0.7,12
38,0.9716666666666667,17,1,60.0,8,"(1, 3)",0.7,12
39,0.9716666666666667,17,1,0.6,14,"(1, 4)",0.9,6
40,0.9716666666666667,17,1,0.7,14,"(1, 4)",0.9,6
41,0.9716666666666667,17,1,0.8,14,"(1, 4)",0.9,6
42,0.9716666666666667,17,1,0.6,15,"(1, 2)",0.7,6
43,0.9716666666666667,17,1,0.7,15,"(1, 2)",0.7,6
44,0.9716666666666667,17,1,0.8,15,"(1, 2)",0.7,6
45,0.9716666666666667,17,1,70.0,15,"(1, 2)",0.7,12
46,0.9716666666666667,17,1,0.5,19,"(1, 3)",0.9,12
47,0.9716666666666667,17,1,0.5,20,"(1, 1)",0.7,12
48,0.9716666666666667,17,1,70.0,20,"(1, 1)",0.9,12
49,0.97,17,1,80.0,6,"(1, 2)",0.7,6
50,0.97,17,1,60.0,9,"(1, 2)",0.7,6
51,0.97,17,1,80.0,9,"(1, 1)",0.9,12
52,0.97,17,1,0.5,10,"(1, 4)",0.7,12
53,0.97,17,1,0.6,11,"(1, 3)",0.7,12
54,0.97,17,1,0.7,11,"(1, 3)",0.7,12
55,0.97,17,1,0.8,11,"(1, 3)",0.7,12
56,0.97,17,1,0.6,13,"(1, 2)",0.7,12
57,0.97,17,1,0.7,13,"(1, 2)",0.7,12
58,0.97,17,1,0.8,13,"(1, 2)",0.7,12
59,0.97,17,1,0.5,14,"(1, 1)",0.9,12
60,0.97,17,1,70.0,14,"(1, 2)",0.9,6
61,0.97,17,1,0.5,15,"(1, 4)",0.9,12
62,0.97,17,1,80.0,15,"(1, 2)",0.9,6
63,0.97,17,1,80.0,15,"(1, 3)",0.7,12
64,0.97,17,1,0.5,16,"(1, 2)",0.7,12
65,0.97,17,1,0.6,16,"(1, 2)",0.7,12
66,0.97,17,1,0.7,16,"(1, 2)",0.7,12
67,0.97,17,1,0.8,16,"(1, 2)",0.7,12
68,0.97,17,1,0.5,17,"(1, 1)",0.7,12
69,0.97,17,1,0.5,19,"(1, 2)",0.7,12
70,0.97,17,1,0.5,20,"(1, 2)",0.9,6
71,0.97,17,1,0.6,20,"(1, 3)",0.7,12
72,0.97,17,1,0.7,20,"(1, 3)",0.7,12
73,0.97,17,1,0.8,20,"(1, 3)",0.7,12
74,0.97,17,1,0.6,21,"(1, 3)",0.7,6
75,0.97,17,1,0.7,21,"(1, 3)",0.7,6
76,0.97,17,1,0.8,21,"(1, 3)",0.7,6
77,0.9683333333333334,17,1,80.0,3,"(1, 1)",0.9,6
78,0.9683333333333334,17,1,0.6,7,"(1, 1)",0.7,6
79,0.9683333333333334,17,1,0.7,7,"(1, 1)",0.7,6
80,0.9683333333333334,17,1,0.8,7,"(1, 1)",0.7,6
81,0.9683333333333334,17,1,70.0,7,"(1, 1)",0.7,12
82,0.9683333333333334,17,1,0.6,8,"(1, 3)",0.7,6
83,0.9683333333333334,17,1,0.7,8,"(1, 3)",0.7,6
84,0.9683333333333334,17,1,0.8,8,"(1, 3)",0.7,6
85,0.9683333333333334,17,1,0.5,11,"(1, 2)",0.7,12
86,0.9683333333333334,17,1,0.6,14,"(1, 3)",0.7,12
87,0.9683333333333334,17,1,0.6,14,"(1, 1)",0.9,12
88,0.9683333333333334,17,1,0.6,14,"(1, 2)",0.9,12
89,0.9683333333333334,17,1,0.7,14,"(1, 3)",0.7,12
90,0.9683333333333334,17,1,0.7,14,"(1, 1)",0.9,12
91,0.9683333333333334,17,1,0.7,14,"(1, 2)",0.9,12
92,0.9683333333333334,17,1,0.8,14,"(1, 3)",0.7,12
93,0.9683333333333334,17,1,0.8,14,"(1, 1)",0.9,12
94,0.9683333333333334,17,1,0.8,14,"(1, 2)",0.9,12
95,0.9683333333333334,17,1,0.5,15,"(1, 1)",0.9,6
96,0.9683333333333334,17,1,0.6,15,"(1, 3)",0.7,12
97,0.9683333333333334,17,1,0.7,15,"(1, 3)",0.7,12
98,0.9683333333333334,17,1,0.8,15,"(1, 3)",0.7,12
99,0.9683333333333334,17,1,70.0,15,"(1, 3)",0.7,12
100,0.9683333333333334,17,1,80.0,15,"(1, 2)",0.7,12
101,0.9683333333333334,17,1,0.5,16,"(1, 3)",0.7,12
102,0.9683333333333334,17,1,0.6,16,"(1, 2)",0.7,6
103,0.9683333333333334,17,1,0.6,16,"(1, 4)",0.9,6
104,0.9683333333333334,17,1,0.7,16,"(1, 2)",0.7,6
105,0.9683333333333334,17,1,0.7,16,"(1, 4)",0.9,6
106,0.9683333333333334,17,1,0.8,16,"(1, 2)",0.7,6
107,0.9683333333333334,17,1,0.8,16,"(1, 4)",0.9,6
108,0.9683333333333334,17,1,70.0,16,"(1, 3)",0.9,6
109,0.9683333333333334,17,1,70.0,16,"(1, 4)",0.7,12
110,0.9683333333333334,17,1,0.5,17,"(1, 2)",0.9,6
111,0.9683333333333334,17,1,0.5,17,"(1, 4)",0.7,12
112,0.9683333333333334,17,1,70.0,17,"(1, 4)",0.7,6
113,0.9683333333333334,17,1,60.0,18,"(1, 1)",0.7,6
114,0.9683333333333334,17,1,0.6,20,"(1, 1)",0.7,6
115,0.9683333333333334,17,1,0.7,20,"(1, 1)",0.7,6
116,0.9683333333333334,17,1,0.8,20,"(1, 1)",0.7,6
117,0.9683333333333334,17,1,80.0,20,"(1, 4)",0.9,6
118,0.9683333333333334,17,1,0.5,21,"(1, 1)",0.7,12
119,0.9683333333333334,17,1,0.6,21,"(1, 3)",0.7,12
120,0.9683333333333334,17,1,0.6,21,"(1, 4)",0.7,12
121,0.9683333333333334,17,1,0.7,21,"(1, 3)",0.7,12
122,0.9683333333333334,17,1,0.7,21,"(1, 4)",0.7,12
123,0.9683333333333334,17,1,0.8,21,"(1, 3)",0.7,12
124,0.9683333333333334,17,1,0.8,21,"(1, 4)",0.7,12
125,0.9683333333333334,17,1,80.0,21,"(1, 2)",0.7,6
126,0.9683333333333334,17,1,80.0,21,"(1, 3)",0.7,12
127,0.9666666666666667,17,1,0.6,4,"(1, 1)",0.7,12
128,0.9666666666666667,17,1,0.7,4,"(1, 1)",0.7,12
129,0.9666666666666667,17,1,0.8,4,"(1, 1)",0.7,12
130,0.9666666666666667,17,1,60.0,6,"(1, 3)",0.9,12
131,0.9666666666666667,17,1,80.0,6,"(1, 1)",0.9,6
132,0.9666666666666667,17,1,0.6,7,"(1, 2)",0.7,6
133,0.9666666666666667,17,1,0.7,7,"(1, 2)",0.7,6
134,0.9666666666666667,17,1,0.8,7,"(1, 2)",0.7,6
135,0.9666666666666667,17,1,80.0,7,"(1, 1)",0.7,12
136,0.9666666666666667,17,1,0.6,8,"(1, 1)",0.7,12
137,0.9666666666666667,17,1,0.7,8,"(1, 1)",0.7,12
138,0.9666666666666667,17,1,0.8,8,"(1, 1)",0.7,12
139,0.9666666666666667,17,1,0.5,9,"(1, 1)",0.7,6
140,0.9666666666666667,17,1,70.0,9,"(1, 4)",0.9,6
141,0.9666666666666667,17,1,0.6,10,"(1, 1)",0.7,6
142,0.9666666666666667,17,1,0.7,10,"(1, 1)",0.7,6
143,0.9666666666666667,17,1,0.8,10,"(1, 1)",0.7,6
144,0.9666666666666667,17,1,60.0,10,"(1, 2)",0.9,12
145,0.9666666666666667,17,1,80.0,10,"(1, 2)",0.7,12
146,0.9666666666666667,17,1,0.5,11,"(1, 4)",0.9,6
147,0.9666666666666667,17,1,0.5,11,"(1, 3)",0.7,12
148,0.9666666666666667,17,1,0.5,12,"(1, 3)",0.7,12
149,0.9666666666666667,17,1,0.6,14,"(1, 2)",0.7,12
150,0.9666666666666667,17,1,0.7,14,"(1, 2)",0.7,12
151,0.9666666666666667,17,1,0.8,14,"(1, 2)",0.7,12
152,0.9666666666666667,17,1,60.0,14,"(1, 1)",0.9,6
153,0.9666666666666667,17,1,0.5,15,"(1, 2)",0.7,6
154,0.9666666666666667,17,1,0.5,15,"(1, 3)",0.7,6
155,0.9666666666666667,17,1,0.5,15,"(1, 4)",0.7,12
156,0.9666666666666667,17,1,60.0,15,"(1, 2)",0.7,6
157,0.9666666666666667,17,1,0.5,16,"(1, 1)",0.7,6
158,0.9666666666666667,17,1,0.5,16,"(1, 3)",0.7,6
159,0.9666666666666667,17,1,0.6,16,"(1, 2)",0.9,6
160,0.9666666666666667,17,1,0.7,16,"(1, 2)",0.9,6
161,0.9666666666666667,17,1,0.8,16,"(1, 2)",0.9,6
162,0.9666666666666667,17,1,0.5,17,"(1, 3)",0.9,6
163,0.9666666666666667,17,1,0.6,17,"(1, 2)",0.7,6
164,0.9666666666666667,17,1,0.6,17,"(1, 2)",0.7,12
165,0.9666666666666667,17,1,0.7,17,"(1, 2)",0.7,6
166,0.9666666666666667,17,1,0.7,17,"(1, 2)",0.7,12
167,0.9666666666666667,17,1,0.8,17,"(1, 2)",0.7,6
168,0.9666666666666667,17,1,0.8,17,"(1, 2)",0.7,12
169,0.9666666666666667,17,1,0.6,18,"(1, 1)",0.7,12
170,0.9666666666666667,17,1,0.6,18,"(1, 2)",0.9,12
171,0.9666666666666667,17,1,0.7,18,"(1, 1)",0.7,12
172,0.9666666666666667,17,1,0.7,18,"(1, 2)",0.9,12
173,0.9666666666666667,17,1,0.8,18,"(1, 1)",0.7,12
174,0.9666666666666667,17,1,0.8,18,"(1, 2)",0.9,12
175,0.9666666666666667,17,1,70.0,18,"(1, 4)",0.9,6
176,0.9666666666666667,17,1,0.5,19,"(1, 3)",0.9,6
177,0.9666666666666667,17,1,0.6,20,"(1, 2)",0.7,12
178,0.9666666666666667,17,1,0.7,20,"(1, 2)",0.7,12
179,0.9666666666666667,17,1,0.8,20,"(1, 2)",0.7,12
180,0.9666666666666667,17,1,0.5,21,"(1, 2)",0.9,12
181,0.9666666666666667,17,1,70.0,21,"(1, 4)",0.9,12
182,0.965,17,1,0.5,7,"(1, 4)",0.9,6
183,0.965,17,1,0.5,8,"(1, 4)",0.7,6
184,0.965,17,1,80.0,8,"(1, 2)",0.9,12
185,0.965,17,1,0.5,9,"(1, 4)",0.7,6
186,0.965,17,1,0.6,9,"(1, 3)",0.7,12
187,0.965,17,1,0.6,9,"(1, 2)",0.9,12
188,0.965,17,1,0.7,9,"(1, 3)",0.7,12
189,0.965,17,1,0.7,9,"(1, 2)",0.9,12
190,0.965,17,1,0.8,9,"(1, 3)",0.7,12
191,0.965,17,1,0.8,9,"(1, 2)",0.9,12
192,0.965,17,1,0.5,10,"(1, 3)",0.7,12
193,0.965,17,1,0.5,11,"(1, 1)",0.9,6
194,0.965,17,1,0.5,11,"(1, 3)",0.9,12
195,0.965,17,1,0.6,11,"(1, 1)",0.7,6
196,0.965,17,1,0.6,11,"(1, 1)",0.9,6
197,0.965,17,1,0.7,11,"(1, 1)",0.7,6
198,0.965,17,1,0.7,11,"(1, 1)",0.9,6
199,0.965,17,1,0.8,11,"(1, 1)",0.7,6
200,0.965,17,1,0.8,11,"(1, 1)",0.9,6
201,0.965,17,1,70.0,11,"(1, 1)",0.9,6
202,0.965,17,1,0.6,12,"(1, 2)",0.9,12
203,0.965,17,1,0.7,12,"(1, 2)",0.9,12
204,0.965,17,1,0.8,12,"(1, 2)",0.9,12
205,0.965,17,1,0.5,13,"(1, 2)",0.9,6
206,0.965,17,1,0.6,13,"(1, 4)",0.9,12
207,0.965,17,1,0.7,13,"(1, 4)",0.9,12
208,0.965,17,1,0.8,13,"(1, 4)",0.9,12
209,0.965,17,1,70.0,13,"(1, 3)",0.7,6
210,0.965,17,1,70.0,13,"(1, 4)",0.7,6
211,0.965,17,1,70.0,13,"(1, 3)",0.9,6
212,0.965,17,1,80.0,13,"(1, 4)",0.9,6
213,0.965,17,1,0.5,14,"(1, 3)",0.7,12
214,0.965,17,1,0.6,14,"(1, 4)",0.7,12
215,0.965,17,1,0.7,14,"(1, 4)",0.7,12
216,0.965,17,1,0.8,14,"(1, 4)",0.7,12
217,0.965,17,1,80.0,14,"(1, 2)",0.7,6
218,0.965,17,1,60.0,15,"(1, 1)",0.9,6
219,0.965,17,1,70.0,15,"(1, 4)",0.9,12
220,0.965,17,1,0.6,17,"(1, 1)",0.7,12
221,0.965,17,1,0.6,17,"(1, 4)",0.7,12
222,0.965,17,1,0.6,17,"(1, 2)",0.9,12
223,0.965,17,1,0.7,17,"(1, 1)",0.7,12
224,0.965,17,1,0.7,17,"(1, 4)",0.7,12
225,0.965,17,1,0.7,17,"(1, 2)",0.9,12
226,0.965,17,1,0.8,17,"(1, 1)",0.7,12
227,0.965,17,1,0.8,17,"(1, 4)",0.7,12
228,0.965,17,1,0.8,17,"(1, 2)",0.9,12
229,0.965,17,1,60.0,17,"(1, 4)",0.9,12
230,0.965,17,1,0.5,18,"(1, 4)",0.9,6
231,0.965,17,1,0.6,18,"(1, 3)",0.7,12
232,0.965,17,1,0.7,18,"(1, 3)",0.7,12
233,0.965,17,1,0.8,18,"(1, 3)",0.7,12
234,0.965,17,1,60.0,18,"(1, 3)",0.9,12
235,0.965,17,1,0.5,19,"(1, 3)",0.7,6
236,0.965,17,1,60.0,19,"(1, 2)",0.7,6
237,0.965,17,1,80.0,20,"(1, 3)",0.7,6
238,0.965,17,1,0.5,21,"(1, 4)",0.9,6
239,0.965,17,1,0.5,21,"(1, 3)",0.9,12
240,0.9633333333333334,17,1,80.0,5,"(1, 3)",0.7,12
241,0.9633333333333334,17,1,0.5,6,"(1, 1)",0.9,12
242,0.9633333333333334,17,1,0.6,6,"(1, 4)",0.7,12
243,0.9633333333333334,17,1,0.7,6,"(1, 4)",0.7,12
244,0.9633333333333334,17,1,0.8,6,"(1, 4)",0.7,12
245,0.9633333333333334,17,1,60.0,7,"(1, 4)",0.7,6
246,0.9633333333333334,17,1,80.0,7,"(1, 3)",0.7,6
247,0.9633333333333334,17,1,70.0,8,"(1, 1)",0.9,6
248,0.9633333333333334,17,1,0.5,9,"(1, 2)",0.7,6
249,0.9633333333333334,17,1,0.6,9,"(1, 4)",0.7,12
